id,value
flare.Kansas City Chiefs,289
flare.Amala Paul,77
flare.Allari Naresh,622
flare.Saikrishna Dantu,62
flare.Mahesh Mahi,150
flare.Prudhvi Suggala,538
flare.Abhishek Bachan,338
flare.Amy Jackson,231
flare.Hrithik Roshan,86
flare.Aamir Khan,9
flare.Deepika Padukone,77
flare.Virat Kohli,52
flare.Siddharth,73
flare.Mahesh Babu,2
flare.Shah Rukh Khan,78
flare.PMO India,432
flare.Narendra Modi,1938
flare.Dhanush,149
flare.Hansika,313
flare.Rajinikanth, 24
flare.Ranveer Singh, 836
flare.rajamouli ss, 19
flare.nithiin, 44








